
(11111111,'JUAN','SOTO','AVENIDA 1, SANTIAGO',911111111,FALSE);
(22222222,'ANA', 'PEREZ',' PASAJE 2, SANTIAGO',922222222,FALSE);
(33333333,'SANDRA', 'AGUILAR',' AVENIDA 2, SANTIAGO',933333333,FALSE);
(44444444,'ESTEBAN', 'JEREZ',' AVENIDA 3, SANTIAGO',944444444,FALSE);
(55555555,'SILVANA', 'MUNOZ',' PASAJE 3, SANTIAGO',955555555,FALSE);
('ANDRES', 'ULLOA',1982,null);
('SERGIO', 'MARDONES', 1950,2012);
('JOSE', 'SALGADO', 1968,2020);
('ANA', 'SALGADO',1972,null);
('MARTIN', 'PORTA',1976,null);
(1111111111111, 'CUENTOS DE TERROR',344,7,1);
(2222222222222, 'POESIAS CONTEMPORANEAS',167,7,1);
(3333333333333, 'HISTORIA DE ASIA',511,14,1);
4444444444444, 'MANUAL DE MECANICA',298,14,1);
(1111111111111,3, 'PRINCIPAL'),
(1111111111111,4, 'COAUTOR'),
2222222222222,1, 'PRINCIPAL'),
(3333333333333,2, 'PRINCIPAL'),
(4444444444444,5, 'PRINCIPAL');
(11111111,1111111111111,'2020-01-20','2020-01-27');
(55555555,2222222222222,'2020-01-20','2020-01-30');
(33333333,3333333333333,'2020-01-22','2020-01-30');
(44444444,4444444444444,'2020-01-23','2020-01-30');
(22222222,1111111111111,'2020-01-27','2020-02-04');
(11111111,4444444444444,'2020-01-31','2020-02-12');
(33333333,2222222222222,'2020-01-31','2020-02-12');
